pubchem_id,common_name,flavor_profile,foodb_matched,foodb_food_id,macronutrients_json,moisture_content
19707,"2,3-Hexanedione",butter@caramel@oily@fatty@sweet@creamy@fruity@phenolic@dry,True,85.0,{},
5362622,Ethyl 3-Hexenoate,,True,69.0,{},
8159,Heptyl acetate,apricot@fresh@ripe@fruit@woody@rum@pear@green,True,206.0,{},
8432,1-Phenylethyl propionate,gardenia@rose@fresh@floral@sweet@weedy@green,True,128.0,{},
8169,Heptyl formate,apple@herbal@waxy@floral@cucumber@plum@green,True,398.0,{},
62484,3-Hydroxy-2-Pentanone,truffle@herbal@herb,True,21.0,{},
1001,Phenethylamine,ammoniacal@fishy,True,245.0,{},
73750,S-Methyl thioacetate,sulfurous@cabbage@vegetable@egg@dairy@cheese,True,83.0,{},
636687,"2,6-Nonadienal",citrus@fresh@green@melon@cucumber,True,65.0,{},
8186,Undecanal,oil@laundry@citrus@waxy@fresh@floral@fatty@sweet@pungent@aldehydic@soapy@green,True,244.0,{},
10886,Pentyl Hexanoate,apple@pineapple@fatty@estery@sweet@fruity@pear@green,True,85.0,{},
7797,Ethyl Heptanoate,pineapple@wine@fruit@plum@fruity@melon@rum@cognac,True,101.0,{},
8655,Syringaldehyde,mild@sweet@woody@tonka@plastic,True,277.0,{},
8175,Decanal,citrus@soap@orange peel@tallow@waxy@floral@sweet@aldehydic,True,575.0,{},
6998,Salicylaldehyde,cooling@medical@wintergreen@spicy@cinnamon,True,175.0,{},
